time_min,temp_C,OD600,strain,well,media,pos_selection,promoter,volume_marker,date,run_number,OD_sub,gp_OD600,gp_OD600_std,gp_growth_rate,gp_growth_rate_std,gp_doubling_time,gp_doubling_time_std
24.166666666666668,37.1,0.06,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.06,0.0756222,0.016187742156090514,-0.000761127,0.00015508440603222585,-910.6855,229.9926049972578
49.16666666666666,37.1,0.065,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.065,0.06267295,0.014433757072577345,-0.000377843,0.00012230709830400916,-1829.26,4169.4029322638735
74.16666666666667,37.1,0.071,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.071,0.0570553,0.013506081141934643,-2.32248e-05,9.472971684078543e-05,-4842.4349999999995,148036.16336780624
99.16666666666669,37.1,0.079,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.079,0.0606029,0.013633802708784877,0.000298229,7.125713884377606e-05,2324.21,708.5179340120443
124.16666666666669,37.0,0.089,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.089,0.07188895000000001,0.013274256783499298,0.000591341,5.293967134487502e-05,1172.16,106.0676074320172
149.16666666666666,37.1,0.102,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.102,0.0900186,0.013661719708285449,0.0008496014999999999,4.009751754984035e-05,815.8495,38.623320231764225
174.16666666666666,37.1,0.115,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.115,0.113218,0.013397277328289482,0.0010708800000000002,3.262528990306624e-05,647.2695,19.72424750999956
199.16666666666663,37.0,0.13,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.13,0.14333849999999998,0.013640959514366453,0.001259535,2.9698699672382944e-05,550.3199999999999,13.014031434234099
224.16666666666663,37.0,0.15,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.15,0.176596,0.013586957395660097,0.001413635,2.9741700181851652e-05,490.3295,10.36774419072916
249.16666666666663,37.0,0.188,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.188,0.213526,0.013644436370513258,0.00153316,3.2162121551273456e-05,452.10299999999995,9.537670138488865
274.1666666666667,37.0,0.226,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.226,0.2532675,0.013412150014713447,0.001620895,3.268523292926028e-05,427.6325,8.660938879816253
299.1666666666667,37.0,0.274,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.274,0.293713,0.013258730452305861,0.0016793799999999998,3.332612310724559e-05,412.7395,8.23970215260104
324.1666666666667,37.1,0.326,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.326,0.33739450000000004,0.013511428212692389,0.001706725,3.319783869815025e-05,406.1275,7.958175446537033
349.1666666666667,37.0,0.387,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.387,0.379535,0.012751029393810601,0.00170865,3.180151878406647e-05,405.66949999999997,7.618637302266917
374.1666666666667,37.1,0.434,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.434,0.4213845,0.013442093435450553,0.001684205,3.019832260433608e-05,411.5575,7.4195027386241605
399.1666666666667,37.0,0.472,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.472,0.4633535,0.012730575798567276,0.00163978,2.799159556366794e-05,422.7085,7.264450330010729
424.1666666666667,37.0,0.52,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.52,0.503394,0.013208581662568894,0.00157561,2.5914861290141793e-05,439.9225,7.270758187968379
449.1666666666667,37.1,0.56,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.56,0.5418510000000001,0.013052259275631781,0.00149396,2.3730686859499044e-05,463.96500000000003,7.38680563568129
474.1666666666667,37.0,0.597,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.597,0.5777265,0.013489569756462379,0.0013999799999999999,2.2171547461474115e-05,495.11199999999997,7.845593612208036
499.1666666666667,37.0,0.628,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.628,0.6122460000000001,0.01288897924984968,0.00129502,2.2480495277734025e-05,535.2405,9.31468228040003
524.1666666666666,37.0,0.655,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.655,0.642103,0.013299995840097922,0.001182235,2.3141913049956192e-05,586.302,11.498644342791778
549.1666666666666,37.0,0.679,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.679,0.6709905,0.013389109215026954,0.0010653099999999999,2.342352233351912e-05,650.6525,14.37031071927698
574.1666666666666,37.0,0.706,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.706,0.695797,0.01272339219373137,0.000944478,2.4295650895606782e-05,733.8945,18.89071027682266
599.1666666666666,37.0,0.72,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.72,0.7173145000000001,0.013021229200802408,0.0008247924999999999,2.5265435572619903e-05,840.39,25.818285756405523
624.1666666666666,37.0,0.73,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.73,0.7374674999999999,0.013344849893095569,0.000706674,2.6569701185565942e-05,980.858,36.720135135954315
649.1666666666666,37.1,0.745,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.745,0.7533785,0.012954615142195654,0.0005931635,2.6696718917811245e-05,1168.56,52.38028694760934
674.1666666666666,36.9,0.754,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.754,0.7672255,0.013469357654945295,0.000486936,2.684611745262255e-05,1423.4850000000001,78.53711152128332
699.1666666666666,37.0,0.766,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.766,0.777682,0.012922714524768498,0.00038603650000000004,2.66860848180129e-05,1795.545,123.11678311720925
724.1666666666666,37.0,0.772,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.772,0.787064,0.013461735899806235,0.0002964885,2.53596706095724e-05,2337.855,201.64344199663708
749.1666666666666,37.0,0.78,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.78,0.7929525,0.013485685004356141,0.00021619800000000002,2.4379597550089103e-05,3206.075,372.04892764802725
774.1666666666666,37.0,0.788,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.788,0.797671,0.012990188848951843,0.00014657199999999998,2.358349424918903e-05,4729.055,832.183694114264
799.1666666666666,37.0,0.791,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.791,0.7994885,0.01301131936526166,8.82376e-05,2.2913268341182908e-05,7855.465,3188.0525902609925
824.1666666666666,37.0,0.797,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.797,0.8016665000000001,0.013288188002924098,3.899725e-05,2.18835807468725e-05,16945.55,690089.9548345143
849.1666666666666,36.9,0.8,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.8,0.8020860000000001,0.013425487331618816,3.00903e-06,2.1442858096597036e-05,17959.85,1464224.7923365054
874.1666666666666,37.0,0.801,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.801,0.801963,0.013350700193215933,-2.431695e-05,2.1823839885546793e-05,-22237.6,540145.92566023
899.1666666666666,37.0,0.802,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.802,0.800968,0.013230895082959876,-4.23682e-05,2.2773395485635418e-05,-15653.15,285865.0687765119
924.1666666666666,37.0,0.805,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.805,0.801024,0.013551430820497076,-5.0049e-05,2.4113275037890284e-05,-13505.099999999999,157145.7249952048
949.1666666666666,37.0,0.805,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.805,0.798592,0.013184717039686187,-5.13858e-05,2.4980258026313143e-05,-13202.25,176330.36102329163
974.1666666666666,37.0,0.805,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.805,0.7978164999999999,0.01359406538785078,-4.695295e-05,2.6850332566559542e-05,-13969.849999999999,293618.44128089765
999.1666666666666,37.1,0.804,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.804,0.7965979999999999,0.013355169151996292,-3.71671e-05,2.8300068680635245e-05,-16416.75,1438939.2625079758
1024.1666666666667,37.1,0.804,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.804,0.7950174999999999,0.013070639659179737,-2.44926e-05,2.9352941370486723e-05,-18095.0,879586.5872884197
1049.1666666666667,37.1,0.802,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.802,0.7953669999999999,0.012836440094828837,-1.1167450000000001e-05,3.096595423267495e-05,-15447.8,3090004.607147555
1074.1666666666667,37.1,0.8,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.8,0.794103,0.013096157957036468,3.256735e-06,3.086191642144691e-05,13201.55,392100.9340841007
1099.1666666666667,37.0,0.799,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.799,0.795784,0.013239132469264172,1.4141950000000001e-05,3.0702408382480615e-05,16988.15,14829979.20662681
1124.1666666666667,37.1,0.798,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.798,0.796767,0.013261816804646064,2.33417e-05,3.0262270502072926e-05,17115.4,948071.0181238335
1149.1666666666667,37.0,0.796,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.796,0.7962819999999999,0.01344392316543437,2.7011499999999997e-05,2.9818763898704026e-05,16809.5,7925810.894129766
1174.1666666666667,37.1,0.795,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.795,0.7971969999999999,0.013645496242560506,2.3244799999999998e-05,2.9653381820683976e-05,17343.4,1485156.9047583553
1199.1666666666667,37.1,0.793,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.793,0.796682,0.013673567003918904,1.359625e-05,2.9815956189484557e-05,17067.35,493169.6280291325
1224.1666666666667,37.0,0.792,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.792,0.798007,0.013694768267027308,-7.36818e-06,3.323200300438117e-05,-13575.05,5240877.170658797
1249.1666666666667,37.0,0.791,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.791,0.7966260000000001,0.013364968260266945,-3.575665e-05,4.013170347963365e-05,-12649.95,217260.4254902656
1274.1666666666667,37.0,0.79,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.79,0.795329,0.013124910464831094,-7.77278e-05,5.065500871004895e-05,-7989.205,89911.39733012549
1299.1666666666667,37.0,0.793,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.793,0.7929174999999999,0.013283762879773621,-0.000129437,6.604002431102246e-05,-5165.275,56326.070453914035
1324.1666666666667,37.1,0.787,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.787,0.7896305,0.01418106669273027,-0.000193127,8.561840841615031e-05,-3542.6499999999996,81006.88327845356
1349.1666666666667,37.0,0.784,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.784,0.7837860000000001,0.01418759398420158,-0.000266917,0.00010997503919571462,-2577.9849999999997,72449.79560318995
1374.1666666666667,37.0,0.782,MG1655,A01,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.782,0.7764755,0.014999346608871016,-0.0003520605,0.00013941908403709637,-1959.78,22031.042046305258
24.166666666666668,37.1,0.06,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.06,0.07708495,0.019557791736529908,-0.0007882695,0.00018830384688858095,-879.328,716.1002103621528
49.16666666666666,37.1,0.064,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.064,0.061767050000000004,0.018225613646515048,-0.0004064035,0.0001507486212646718,-1695.525,10046.507632117691
74.16666666666667,37.1,0.07,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.07,0.0551465,0.01771173875627529,-5.121215e-05,0.00011886905428721798,-4542.79,233171.92807003955
99.16666666666669,37.1,0.078,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.078,0.0586611,0.017841985716758206,0.0002743365,9.131479364984888e-05,2526.635,1758.44367740119
124.16666666666669,37.0,0.088,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.088,0.06895775,0.01704837805112547,0.000567012,6.817587417509775e-05,1222.455,146.4260777146572
149.16666666666666,37.1,0.101,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.101,0.08708260000000001,0.016629848924151414,0.000827368,5.081040741318181e-05,837.7735,50.78473079236761
174.16666666666666,37.1,0.118,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.118,0.111459,0.01671862754319738,0.001056165,3.916912722934997e-05,656.2864999999999,24.343692511234178
199.16666666666663,37.0,0.135,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.135,0.1396095,0.017132538521164257,0.001247365,3.4183434858606936e-05,555.6895,15.256246953023917
224.16666666666663,37.0,0.156,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.156,0.17363,0.017327711441029733,0.0014077199999999999,3.4253289754328054e-05,492.389,12.038981567711874
249.16666666666663,37.0,0.178,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.178,0.21030100000000002,0.017597648929059625,0.001533175,3.577908746582187e-05,452.099,10.615286524832548
274.1666666666667,37.0,0.211,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.211,0.248793,0.01726696285585389,0.00162799,3.834447378122809e-05,425.76800000000003,10.118805353999697
299.1666666666667,37.0,0.263,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.263,0.2903705,0.01673595456907573,0.001690805,4.054499820301664e-05,409.95050000000003,9.93613232056039
324.1666666666667,37.1,0.313,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.313,0.333114,0.01696473778421942,0.001724705,4.030321183246096e-05,401.8935,9.508545757508847
349.1666666666667,37.0,0.37,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.37,0.37709550000000003,0.01706735089046153,0.0017316800000000002,4.0061642351242775e-05,400.27549999999997,9.38413261895736
374.1666666666667,37.1,0.42,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.42,0.419209,0.0165554685380511,0.001712885,3.813153502310946e-05,404.6665,9.120071820051027
399.1666666666667,37.0,0.468,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.468,0.4623695,0.016725748117067035,0.0016718050000000002,3.5351157710251374e-05,414.6105,8.869992142185074
424.1666666666667,37.0,0.525,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.525,0.50332,0.01691758113191519,0.00161157,3.309763066587092e-05,430.1065,8.921543735832472
449.1666666666667,37.1,0.567,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.567,0.5432215,0.016996101872980677,0.001532995,3.0342313357843307e-05,452.1535,9.008841421377387
474.1666666666667,37.0,0.608,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.608,0.580346,0.01631819290124214,0.00144029,2.8223838089621242e-05,481.256,9.449944719731908
499.1666666666667,37.0,0.643,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.643,0.6143915,0.016611513495357173,0.00133598,2.6417065786201314e-05,518.831,10.24523549199769
524.1666666666666,37.0,0.673,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.673,0.6466745,0.016521560111728097,0.00122381,2.652028106827678e-05,566.384,12.249328679347398
549.1666666666666,37.0,0.7,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.7,0.675569,0.016515510872832765,0.00110684,2.7075962590112217e-05,626.2405,15.320305331537824
574.1666666666666,37.0,0.711,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.711,0.701874,0.016469097561499117,0.000985173,2.808653857992681e-05,703.5795,20.11027131152516
599.1666666666666,37.0,0.731,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.731,0.7249215,0.017051174442944725,0.000863876,2.930213087255146e-05,802.3685,27.195405551721766
624.1666666666666,37.0,0.735,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.735,0.745221,0.016907308306582165,0.000743465,3.129422201137411e-05,932.3199999999999,39.20528063727011
649.1666666666666,37.1,0.752,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.752,0.76161,0.016380298471792815,0.0006269135,3.269063740152219e-05,1105.65,57.615242726819616
674.1666666666666,36.9,0.762,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.762,0.775616,0.01670887398433453,0.000516009,3.3027937990904994e-05,1343.2849999999999,85.66317816984896
699.1666666666666,37.0,0.773,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.773,0.788163,0.01665050318062357,0.0004131575,3.3351342750310955e-05,1677.68,134.47745122723467
724.1666666666666,37.0,0.781,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.781,0.7965340000000001,0.016484490971563116,0.000319661,3.266196201408789e-05,2168.385,222.683945375025
749.1666666666666,37.0,0.789,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.789,0.805334,0.016693267925367284,0.000236092,3.1334746689021386e-05,2935.915,402.89471225627045
774.1666666666666,37.0,0.794,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.794,0.8084035,0.016382976730367937,0.0001629825,2.969132978598703e-05,4252.89,853.9841408658468
799.1666666666666,37.0,0.8,MG1655,A02,M9_0.5%_glucose,0_µg/ml_tc,MG1655,MG1655,20210128,2,0.8,0.812095,0.016388652647260315,0.0001013645,2.814438599103898e-05,6838.16,3113.776740594355
